datetime,underlying_price,NIFTY27JAN2625200CE,NIFTY27JAN2625300CE,NIFTY27JAN2625400CE,NIFTY27JAN2625500CE,NIFTY27JAN2625600CE,NIFTY27JAN2625700CE,NIFTY27JAN2625800CE,NIFTY27JAN2625900CE,NIFTY27JAN2626000CE,NIFTY27JAN2626100CE,NIFTY27JAN2626200CE,NIFTY27JAN2626300CE,NIFTY27JAN2626400CE,NIFTY27JAN2626500CE,NIFTY27JAN2623800PE,NIFTY27JAN2623900PE,NIFTY27JAN2624000PE,NIFTY27JAN2624100PE,NIFTY27JAN2624200PE,NIFTY27JAN2624300PE,NIFTY27JAN2624400PE,NIFTY27JAN2624500PE,NIFTY27JAN2624600PE,NIFTY27JAN2624700PE,NIFTY27JAN2624800PE,NIFTY27JAN2624900PE,NIFTY27JAN2625000PE,NIFTY27JAN2625100PE
07-01-2026 09:15,26111.65,0.12662,0.1233,0.11741,0.11912572072805515,0.11005,0.10576,0.09986405161586298,0.09724,0.0957,0.09397,0.09187,0.09041,0.08908,0.08795,0.1784,0.17237,0.16928,0.16344198959352615,0.1576,0.1524,0.14697,0.14105,0.13613,0.13085,0.1264,0.12142,0.11631,0.1115
07-01-2026 09:20,26141.4,0.08632,0.09846475268359162,0.10667936931800512,0.11779,0.11197,0.11028,0.10407999429557747,0.10151800557835218,0.09837,0.09619,0.09413,0.09236,0.09057,0.08925,0.17962,0.17477,0.1700740747890557,0.16534,0.15972362961764638,0.1542,0.14753,0.14274,0.13849,0.13282,0.12822180323555926,0.12363,0.11853011330774649,0.11353
07-01-2026 09:25,26139.35,0.09147,0.09481251922659105,0.09514,0.09933,0.09599,0.09204,0.09216,0.08954,0.08996,0.08861,0.08697,0.08627,0.08541,0.08488976118862591,0.1801,0.17574,0.17154,0.16567,0.15927,0.15420749997219277,0.14919,0.14245,0.13806,0.13242,0.12877,0.12349,0.11817,0.11287293856481914
07-01-2026 09:30,26128.95,0.1086,0.10842,0.1115,0.12248,0.10715,0.11098,0.10345,0.10017455532886001,0.09864,0.09511,0.09304,0.09123,0.08966623912294491,0.08843,0.18174,0.17688429857209642,0.17206,0.16502,0.15755,0.1522862489418413,0.14691,0.14209,0.13721,0.13184,0.12722,0.12252,0.11729,0.112
07-01-2026 09:35,26131.9,0.10462,0.10538,0.12459,0.12051,0.11225,0.11294,0.10544,0.10133415126032687,0.09896,0.09598191040142515,0.09412,0.09136,0.09014,0.08885,0.18193,0.17711876625251785,0.17226,0.16522,0.15924,0.15334,0.14784,0.1423,0.13725823930238631,0.13219,0.12733,0.12295,0.11707,0.11122360992734988
07-01-2026 09:40,26145.15,0.07079,0.07639,0.08313,0.08523,0.08817011379877424,0.08734,0.08780178449195995,0.08603359983090017,0.0845,0.08386,0.08422414026202518,0.08301,0.08262,0.08249,0.18277,0.1782,0.17265,0.16631,0.15883,0.15343,0.14961,0.14337,0.1382,0.13313,0.12864,0.12374,0.11872,0.11358002654155469
07-01-2026 09:45,26113.1,0.12519916677649703,0.11837,0.10826,0.11514,0.1083,0.1055,0.10226,0.09944399024666234,0.09741,0.09438,0.09237,0.09075,0.08908617619920507,0.08809,0.18107,0.17468,0.1704,0.16426,0.157,0.15289,0.14697,0.14089,0.13571,0.13075,0.12599,0.12096,0.11590326247403313,0.11071
07-01-2026 09:50,26110.0,0.13065844293030893,0.12087,0.10978,0.10866093243131307,0.10703659686043207,0.10476,0.09939,0.0968,0.09542,0.09316,0.09122,0.08945,0.08835624591132274,0.08699,0.1786833999192508,0.1745,0.17045,0.16386,0.15681,0.15155,0.14694,0.14125863386611073,0.13566,0.13068,0.12601,0.12100806218569152,0.11607,0.11095
07-01-2026 09:55,26108.9,0.13029,0.12175,0.13487,0.12651020860368953,0.12009,0.11328,0.1094533082046227,0.10662976597651692,0.10426,0.10032,0.09739,0.09479,0.09256,0.09083,0.18084,0.17444,0.16945,0.16358,0.15675,0.1515913027077482,0.14636,0.14063,0.1353,0.13053782882096296,0.12571,0.12047,0.11519563432409183,0.10983
07-01-2026 10:00,26140.3,0.09239,0.0877,0.115,0.11531,0.11123,0.10752,0.10161,0.09973364385569106,0.09747,0.0953926679128998,0.09255,0.09062,0.08911,0.08784421169135494,0.1828,0.17745,0.1717,0.16515,0.16067,0.15356,0.1481,0.14259,0.13730482585024925,0.13216,0.12774,0.12248,0.11730088534271714,0.1122
07-01-2026 10:05,26142.95,0.05512392021289824,0.08237,0.11304,0.11155310348020074,0.11037,0.11308,0.11004,0.10336,0.10275,0.09909,0.09616,0.0937963221058376,0.09181,0.09023,0.18298,0.17622,0.1714,0.16534,0.15961,0.15374,0.14828,0.14278,0.13766,0.13236,0.12794,0.12247,0.11739,0.11183
07-01-2026 10:10,26159.15,0.10591,0.11189,0.09886,0.10054241016986414,0.10226213689927925,0.10480676415954729,0.10588,0.10247748214917982,0.09988763192086127,0.09746,0.09524,0.09264,0.09117,0.08945,0.18505892251107664,0.17890398997957757,0.17292,0.16683,0.16091989976037535,0.15501,0.14937,0.14421,0.13893,0.1335,0.12947,0.12462,0.11843,0.11309
07-01-2026 10:15,26183.8,0.12049,0.09722,0.11136,0.09406,0.09202,0.09413242933019773,0.09326,0.08786,0.08838,0.08805098614275202,0.08677185828513011,0.08527,0.08415,0.08338305991335442,0.18267,0.17836629948744115,0.17425,0.16842,0.16269,0.15663,0.15173,0.14572,0.14048,0.13536,0.13028,0.12548,0.12019,0.115
07-01-2026 10:20,26169.15,0.13492,0.11376,0.12267,0.11380574992165615,0.10785,0.10299500249250389,0.09695,0.09399,0.09285,0.0913680336753196,0.08918,0.08778,0.08646,0.08546,0.18381,0.17694,0.17227617792247724,0.1675,0.16171430568875692,0.1559667235691528,0.15024,0.14507787267276465,0.13994,0.13449,0.12949,0.12431,0.11901,0.11379
07-01-2026 10:25,26152.25,0.14819,0.11685,0.1055,0.10144,0.0994721193159728,0.09693484208071772,0.09325,0.09388,0.0911,0.08996464487922316,0.08801,0.08672,0.0857,0.08459,0.18279,0.1759,0.17074047285870445,0.1654944247779451,0.16026,0.15459,0.14949,0.14378,0.13834,0.13291,0.12889,0.1234,0.11784,0.11258
07-01-2026 10:30,26130.45,0.14045,0.13392,0.12199,0.11579171898151534,0.111310830018887,0.10631,0.10164,0.09839,0.09611116972133187,0.09407,0.09201064289463905,0.08995180217737334,0.0883,0.08712,0.18145,0.17666,0.17139,0.16528,0.15925927683016744,0.15318,0.14805,0.14233,0.13686,0.1314,0.12709,0.1217,0.11602,0.11041773271509801
07-01-2026 10:35,26133.05,0.13848,0.13213,0.12405007739899152,0.11596820171335441,0.109,0.10357,0.10375,0.09754,0.09843,0.0955065389550349,0.09299,0.09085868375356224,0.08935,0.08769,0.1808966305583497,0.17607,0.17133,0.16478,0.1590118281002449,0.15317,0.1486,0.142669762723206,0.13675,0.13159,0.12694,0.12169,0.11627571147256373,0.11086
07-01-2026 10:40,26144.05,0.13056086959577365,0.1239,0.11721953541433093,0.11069,0.10677497641737539,0.10253,0.10024956363485074,0.09761,0.09496,0.09277307008236446,0.09067,0.08893454889591573,0.08738,0.08609,0.18288,0.17738927904370894,0.17204,0.1655,0.15977,0.15409,0.14898,0.14327,0.13781,0.13264,0.12761,0.12226785137834155,0.11697,0.11164286646132987
07-01-2026 10:45,26141.15,0.12448,0.11977117952966311,0.11456,0.114,0.10828,0.10332,0.10041,0.09745,0.09496084917067713,0.09195,0.09043,0.08885,0.08742681983254616,0.08575,0.18131,0.1766,0.1709885973635628,0.16533,0.15938,0.15392,0.14844,0.14292,0.13762,0.13204,0.12718,0.12241,0.11676,0.1111276480599728
07-01-2026 10:50,26146.85,0.15441,0.12166,0.12264,0.12576,0.11245458425836798,0.10062,0.10214750627012137,0.10421,0.10121,0.09751,0.09502,0.09229,0.09052,0.08866,0.18168,0.1764961142001452,0.17128,0.1657,0.1599059001817387,0.15411,0.14865,0.14331,0.13772,0.13245,0.12747,0.12241,0.11671,0.11127
07-01-2026 10:55,26168.55,0.11618,0.09908,0.10582,0.10497334458075527,0.10027,0.09883,0.09819,0.09465,0.09529,0.09256,0.0906,0.08877,0.08737,0.08584,0.18331,0.17727,0.17315,0.16687,0.16117,0.15557336708280614,0.1501,0.14478,0.13937,0.13411,0.12903,0.12353153616499249,0.11815,0.11277
07-01-2026 11:00,26160.15,0.14217,0.10926,0.12493,0.12832,0.11709,0.11632,0.11182,0.10649,0.10367,0.0996,0.09689,0.09419,0.09188,0.08927553856251803,0.18281,0.17727,0.17264,0.16635,0.1607120863244379,0.155,0.14973,0.1444,0.13896,0.1334,0.12844,0.12318,0.11743,0.11204
07-01-2026 11:05,26182.1,0.028262961283567957,0.06317,0.10803,0.11224,0.11009,0.10412,0.09991,0.09817,0.09525120690457192,0.0919,0.0903441448779812,0.08838,0.08688,0.0856,0.18446,0.17867,0.17404,0.16776,0.16186,0.15632790531989052,0.15102,0.14572,0.14034072761398517,0.13508,0.12983982959472282,0.12479,0.11928,0.11373
07-01-2026 11:10,26166.7,0.08809688324878605,0.10165,0.12041,0.11252630375195753,0.10432,0.10053403060031695,0.09653,0.0946683101252344,0.09205,0.08991,0.08867,0.08707022257908265,0.08535,0.08431,0.18353,0.1772,0.17284,0.16679,0.16173,0.15382,0.1492696131923351,0.14469,0.13988,0.13401,0.12890294210186554,0.1239,0.11804,0.11274
07-01-2026 11:15,26148.15,0.15103,0.12068,0.11946683373515155,0.11697,0.10479,0.10114,0.10383,0.10015,0.09801,0.09512306583179696,0.09307,0.09076398942930045,0.08902,0.08724,0.18212,0.17646,0.1711029568442502,0.16562,0.1597,0.15445,0.14843,0.14362,0.13802,0.13232,0.12740116545032878,0.12244,0.11685,0.11124
